EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Time
31	1	1	0	0	4	10	0	3.32573	
52	1	1	32.823	0	2	10	0	3.31518	
52	2	1	0	0	4	1	0	3.32989	
77	1	1	0	0	4	10	0	3.32016	
81	1	1	0	0	4	1	0	3.3276	
84	1	1	0	0	4	1	0	3.31329	
89	1	1	0	0	4	1	0	3.31597	
105	1	1	0	0	4	1	0	3.33624	
118	1	1	0	0	4	10	0	3.32625	
119	1	1	0	0	4	1	0	3.31455	
126	1	1	0	0	4	1	0	3.33152	
140	1	1	0	0	4	1	0	3.31321	
141	1	1	0	0	4	1	0	3.32567	
169	1	1	0	0	4	1	0	3.32024	
170	1	1	0	0	4	10	0	3.32959	
176	1	1	0	0	4	1	0	3.33479	
188	1	1	0	0	4	1	0	3.33285	
191	1	1	0	0	4	1	0	3.33706	
198	1	1	475.669	0	2	10	0	3.31586	
198	2	1	186.33	0	1	10	0	3.31955	
199	1	1	0	0	4	1	0	3.32895	
203	1	1	193.849	0	2	10	0	3.31724	
203	2	1	0	0	4	1	0	3.31915	
204	1	1	0	0	4	1	0	3.33369	
224	1	1	0	0	4	1	0	3.33311	
229	1	1	662	0	1	1	0	3.32009	
239	1	1	0	0	4	10	0	3.31817	
246	1	1	0	0	4	1	0	3.32466	
251	1	1	0	0	4	10	0	3.33579	
252	1	1	0	0	4	1	0	3.34305	
254	1	1	201.739	0	2	10	0	3.31075	
254	2	1	0	0	4	10	0	3.31792	
260	1	1	0	0	4	1	0	3.32628	
262	1	1	0	0	4	1	0	3.33068	
268	1	1	0	0	4	10	0	3.32261	
276	1	1	0	0	4	10	0	4.06405	
280	1	1	0	0	4	1	0	3.31774	
286	1	1	0	0	4	1	0	3.31996	
287	1	1	42.2656	0	2	10	0	3.31176	
287	2	1	0	0	4	1	0	3.32367	
297	1	1	0	0	4	10	0	3.33462	
298	1	1	0	0	4	1	0	3.3154	
308	1	1	202.382	0	2	10	0	3.3195	
308	2	1	40.3024	0	2	1	0	3.33627	
308	3	1	0	0	4	1	0	3.35187	
310	1	1	0	0	4	10	0	3.32057	
329	1	1	0	0	4	1	0	3.51868	
332	1	1	0.530557	0	2	1	0	3.53122	
332	2	1	184.661	0	1	1	0	3.53364	
333	1	1	0	0	4	10	0	3.34351	
340	1	1	0	0	4	1	0	3.31972	
341	1	1	187.678	0	1	1	0	3.63721	
349	1	1	0	0	4	1	0	3.32152	
360	1	1	0	0	4	1	0	3.33545	
366	1	1	0	0	4	1	0	3.33435	
367	1	1	0	0	4	1	0	3.32731	
381	1	1	0	0	4	1	0	3.31136	
388	1	1	0	0	4	1	0	3.3225	
390	1	1	0	0	4	10	0	3.32406	
400	1	1	0	0	4	10	0	3.33849	
408	1	1	0	0	4	1	0	3.31824	
409	1	1	72.5448	0	2	10	0	3.33611	
409	2	1	0	0	4	1	0	3.34169	
414	1	1	0	0	4	1	0	3.32986	
415	1	1	0	0	4	10	0	3.32302	
425	1	1	0	0	4	1	0	3.33319	
426	1	1	30.1478	0	2	1	0	3.3213	
426	2	1	0	0	4	1	0	3.33363	
430	1	1	0	0	4	1	0	3.3196	
452	1	1	0	0	4	1	0	3.32586	
459	1	1	0	0	4	1	0	3.31324	
461	1	1	0	0	4	1	0	3.3238	
462	1	1	0	0	4	10	0	3.32613	
465	1	1	107.018	0	2	10	0	3.32399	
465	2	1	0	0	4	1	0	3.32502	
472	1	1	0	0	4	1	0	3.32016	
474	1	1	0	0	4	1	0	3.31778	
480	1	1	0	0	4	1	0	3.33463	
482	1	1	0	0	4	1	0	3.3231	
486	1	1	474.932	0	2	1	0	3.31702	
486	2	1	0	0	4	10	0	3.3396	
494	1	1	0	0	4	1	0	3.33521	
510	1	1	0	0	4	1	0	3.32398	
518	1	1	0	0	4	10	0	3.32458	
523	1	1	2.35315	0	2	10	0	3.32725	
523	2	1	0	0	4	1	0	3.32786	
536	1	1	0	0	4	1	0	3.32202	
540	1	1	0	0	4	10	0	3.33055	
546	1	1	0	0	4	1	0	3.3207	
553	1	1	320.122	0	2	1	0	3.31741	
553	2	1	133.274	0	2	1	0	3.33652	
553	3	1	0	0	4	10	0	3.34256	
561	1	1	283.412	0	2	1	0	3.32043	
561	2	1	0	0	4	1	0	3.32682	
569	1	1	464.075	0	2	10	0	3.32687	
569	2	1	0	0	4	10	0	3.33639	
574	1	1	0	0	4	1	0	3.33599	
578	1	1	0	0	4	1	0	3.33514	
587	1	1	0	0	4	10	0	3.32389	
589	1	1	0	0	4	1	0	3.3122	
591	1	1	662	0	1	10	0	3.33364	
595	1	1	0	0	4	10	0	3.33133	
597	1	1	181.631	0	2	1	0	3.31273	
597	2	1	0	0	4	1	0	3.34109	
598	1	1	0	0	4	10	0	3.33133	
598	2	1	0	0	4	10	0	3.54716	
602	1	1	0	0	4	10	0	3.32886	
621	1	1	0	0	4	1	0	3.33016	
622	1	1	0	0	4	1	0	3.32873	
624	1	1	0	0	4	1	0	3.33267	
632	1	1	0	0	4	10	0	3.33041	
633	1	1	0	0	4	1	0	3.32917	
634	1	1	0	0	4	10	0	3.32743	
639	1	1	36.2819	0	2	10	0	3.32165	
