EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Time
22	1	1	318.862	0	2	10	45	3.30722	
22	2	1	0	0	4	10	45	3.3279	
28	1	1	0	0	4	10	45	3.32195	
38	1	1	662	0	1	10	45	3.31375	
42	1	1	0	0	4	1	45	3.31152	
51	1	1	0.353108	0	2	1	45	3.31175	
51	2	1	0	0	4	1	45	3.34247	
56	1	1	364.358	0	2	10	45	3.30751	
56	2	1	0	0	4	10	45	3.33128	
69	1	1	0	0	4	1	45	3.30851	
73	1	1	0	0	4	1	45	3.31209	
127	1	1	0	0	4	1	45	3.31193	
138	1	1	379.729	0	2	1	45	3.31185	
138	2	1	0	0	4	10	45	3.32902	
148	1	1	0	0	4	10	45	3.32716	
155	1	1	0	0	4	1	45	3.31452	
157	1	1	0	0	4	10	45	3.33762	
160	1	1	662	0	1	1	45	3.31389	
196	1	1	272.274	0	2	1	45	3.31303	
196	2	1	0	0	4	1	45	3.3387	
244	1	1	0	0	4	10	45	3.30774	
245	1	1	0	0	4	1	45	3.31061	
249	1	1	0	0	4	1	45	3.31036	
261	1	1	0	0	3	10	45	3.30706	
261	2	1	0	0	4	10	45	3.30848	
265	1	1	361.363	0	2	10	45	3.33268	
265	2	1	0	0	4	1	45	3.33728	
280	1	1	0	0	4	10	45	3.333	
283	1	1	0	0	4	1	45	3.31326	
298	1	1	32.823	0	2	1	45	3.31015	
298	2	1	0	0	4	1	45	3.33124	
306	1	1	0	0	4	10	45	3.30644	
323	1	1	0	0	4	1	45	3.31023	
333	1	1	662	0	1	10	45	3.30737	
336	1	1	262.22	0	2	4	45	3.3117	
336	2	1	215.62	0	2	10	45	3.31544	
336	3	1	184.16	0	1	10	45	3.33031	
339	1	1	0	0	4	10	45	3.3083	
340	1	1	0	0	4	10	45	3.30714	
343	1	1	0	0	4	10	45	3.30681	
356	1	1	0	0	4	10	45	3.3087	
358	1	1	102.821	0	2	10	45	3.30963	
358	2	1	0	0	4	10	45	3.33159	
368	1	1	0	0	4	1	45	3.31278	
388	1	1	0	0	4	1	45	3.31033	
401	1	1	122.64	0	2	1	45	3.31253	
401	2	1	319.887	0	2	1	45	3.32848	
401	3	1	0	0	4	1	45	3.32863	
409	1	1	456.73	0	2	1	45	3.31159	
409	2	1	0	0	4	1	45	3.32551	
429	1	1	0	0	4	1	45	3.309	
441	1	1	422.103	0	2	1	45	3.31142	
441	2	1	239.897	0	1	10	45	3.32561	
444	1	1	0	0	4	1	45	3.31049	
454	1	1	662	0	1	10	45	3.32598	
460	1	1	0	0	4	10	45	3.30875	
467	1	1	0	0	4	10	45	3.30838	
472	1	1	0	0	4	10	45	3.30747	
483	1	1	223.917	0	2	10	45	3.31374	
483	2	1	0	0	4	1	45	3.32393	
509	1	1	0	0	4	1	45	3.31366	
517	1	1	0	0	4	1	45	3.31113	
532	1	1	0	0	4	1	45	3.31226	
538	1	1	0	0	4	10	45	3.31561	
548	1	1	0	0	4	1	45	3.31232	
553	1	1	0	0	4	1	45	3.31584	
554	1	1	442.795	0	2	10	45	3.32675	
554	2	1	219.205	0	1	10	45	3.33864	
563	1	1	0	0	4	1	45	3.31058	
565	1	1	0	0	4	10	45	3.3128	
587	1	1	0	0	4	10	45	3.31179	
600	1	1	0	0	4	10	45	3.32578	
603	1	1	0	0	3	10	45	3.30746	
603	2	1	0	0	4	10	45	3.33443	
608	1	1	33.6038	0	2	1	45	3.31407	
608	2	1	0	0	4	1	45	3.31819	
612	1	1	0	0	4	1	45	3.31261	
617	1	1	0	0	4	10	45	3.30745	
628	1	1	40.487	0	2	10	45	3.31201	
628	2	1	0	0	4	1	45	3.31811	
654	1	1	0	0	4	10	45	3.3129	
665	1	1	0	0	4	1	45	3.31458	
676	1	1	232.337	0	2	10	45	3.30907	
676	2	1	0	0	4	1	45	3.31622	
691	1	1	189.418	0	2	10	45	3.30752	
691	2	1	0	0	4	10	45	3.33068	
692	1	1	0	0	4	10	45	3.3123	
704	1	1	0	0	4	10	45	3.3371	
714	1	1	662	0	1	10	45	3.3096	
741	1	1	0	0	4	1	45	3.31202	
747	1	1	255.857	0	2	10	45	3.30788	
747	2	1	0	0	4	10	45	3.31926	
749	1	1	425.542	0	2	1	45	3.31215	
749	2	1	0	0	4	1	45	3.34266	
752	1	1	0	0	4	10	45	3.31038	
754	1	1	0	0	4	10	45	3.31784	
755	1	1	0	0	4	10	45	3.33521	
763	1	1	0	0	4	1	45	3.31305	
771	1	1	0	0	4	1	45	3.3099	
776	1	1	237.16	0	2	1	45	3.31273	
776	2	1	0	0	4	1	45	3.31769	
777	1	1	0	0	4	1	45	3.31155	
781	1	1	0	0	4	1	45	3.31167	
785	1	1	242.785	0	2	10	45	3.31001	
785	2	1	0	0	4	1	45	3.32877	
793	1	1	0	0	4	1	45	3.34145	
794	1	1	411.872	0	2	10	45	3.30947	
794	2	1	0	0	4	10	45	3.33353	
798	1	1	0	0	4	10	45	3.31844	
806	1	1	0	0	4	1	45	3.31054	
810	1	1	0	0	4	10	45	3.33477	
814	1	1	53.2143	0	2	1	45	3.31436	
814	2	1	0	0	4	1	45	3.32655	
818	1	1	0	0	4	1	45	3.31408	
821	1	1	0	0	4	1	45	3.31378	
829	1	1	0	0	4	1	45	3.31151	
841	1	1	0	0	4	10	45	3.30831	
874	1	1	0	0	4	10	45	3.3225	
877	1	1	0	0	4	1	45	3.31021	
897	1	1	0	0	4	1	45	3.31389	
901	1	1	0	0	4	10	45	3.32345	
904	1	1	0	0	4	10	45	3.33393	
927	1	1	0	0	4	1	45	3.31125	
934	1	1	0	0	4	1	45	3.30928	
938	1	1	0	0	4	1	45	3.31028	
943	1	1	0	0	4	10	45	3.33304	
945	1	1	91.1336	0	2	10	45	3.32795	
945	2	1	0	0	4	10	45	3.32963	
949	1	1	370.666	0	2	10	45	3.30809	
949	2	1	23.7224	0	2	10	45	3.32539	
949	3	1	0	0	4	10	45	3.33808	
952	1	1	347.552	0	2	1	45	3.30975	
952	2	1	18.9871	0	2	1	45	3.34179	
952	3	1	0	0	4	1	45	3.34706	
964	1	1	43.6749	0	2	1	45	3.31369	
964	2	1	240.637	0	2	1	45	3.32866	
964	3	1	0	0	4	1	45	3.33115	
969	1	1	0	0	4	10	45	3.32566	
980	1	1	0	0	4	1	45	3.3137	
983	1	1	0	0	4	1	45	3.31032	
990	1	1	23.741	0	2	1	45	3.31396	
990	2	1	0	0	4	1	45	3.32615	
997	1	1	465.797	0	2	1	45	3.31136	
997	2	1	0	0	4	10	45	3.31581	
1003	1	1	193.849	0	2	1	45	3.31068	
1003	2	1	0	0	4	10	45	3.31898	
1005	1	1	0	0	4	1	45	3.31232	
1008	1	1	0	0	4	1	45	3.31461	
1032	1	1	0	0	4	10	45	3.3082	
1042	1	1	197.385	0	2	1	45	3.31094	
1042	2	1	32.2034	0	2	1	45	3.3132	
1042	3	1	15.2959	0	2	1	45	3.31854	
1042	4	1	0	0	4	1	45	3.33677	
1048	1	1	0	0	4	1	45	3.31001	
1056	1	1	662	0	1	1	45	3.31342	
1060	1	1	0	0	4	1	45	3.31096	
1079	1	1	0	0	4	1	45	3.31187	
1085	1	1	0	0	4	10	45	3.31456	
1088	1	1	0	0	4	10	45	3.32278	
1103	1	1	0	0	4	1	45	3.31165	
1109	1	1	110.482	0	2	1	45	3.31048	
1109	2	1	0	0	4	1	45	3.32406	
1112	1	1	0	0	4	1	45	3.30887	
1139	1	1	0	0	4	10	45	3.30862	
1149	1	1	0	0	4	1	45	3.31395	
1185	1	1	0	0	4	1	45	3.30917	
1195	1	1	0	0	4	1	45	3.31101	
1207	1	1	0	0	4	10	45	3.30756	
1209	1	1	0	0	4	1	45	3.31556	
1212	1	1	0	0	4	10	45	3.31368	
1216	1	1	0	0	4	1	45	3.30893	
1220	1	1	353.791	0	2	1	45	3.31323	
1220	2	1	0	0	4	1	45	3.32509	
1230	1	1	662	0	1	1	45	3.31198	
1236	1	1	0	0	4	10	45	3.32234	
1238	1	1	0	0	4	1	45	3.31302	
1239	1	1	0	0	4	1	45	3.30915	
1242	1	1	0	0	4	1	45	3.31395	
1246	1	1	265.86	0	2	1	45	3.31072	
1246	2	1	396.14	0	1	10	45	3.31315	
1259	1	1	0	0	4	1	45	3.31049	
1275	1	1	0	0	4	10	45	3.30781	
1284	1	1	0	0	4	1	45	3.30833	
1338	1	1	189.406	0	2	1	45	3.31035	
1338	2	1	0	0	4	1	45	3.32218	
1343	1	1	433.311	0	2	1	45	3.31369	
1343	2	1	228.689	0	1	1	45	3.33099	
1374	1	1	0	0	4	10	45	3.33489	
1375	1	1	42.2656	0	2	10	45	3.30925	
1375	2	1	0	0	4	1	45	3.32754	
1379	1	1	0	0	4	1	45	3.30983	
1388	1	1	0	0	4	1	45	3.31208	
1393	1	1	0	0	4	1	45	3.31054	
1395	1	1	0	0	4	1	45	3.31177	
1400	1	1	321.433	0	2	10	45	3.3315	
1400	2	1	0	0	4	10	45	3.33339	
1410	1	1	234.504	0	2	1	45	3.31169	
1410	2	1	0	0	4	1	45	3.34176	
1418	1	1	0	0	4	10	45	3.31004	
1424	1	1	0	0	4	10	45	3.31788	
1427	1	1	0	0	4	10	45	3.33458	
1464	1	1	0	0	4	10	45	3.30897	
1465	1	1	385.3	0	2	1	45	3.31507	
1465	2	1	0	0	4	10	45	3.31926	
1467	1	1	0	0	4	1	45	3.31274	
1469	1	1	371.444	0	2	10	45	3.30939	
1469	2	1	0	0	4	10	45	3.32158	
1477	1	1	434.846	0	2	10	45	3.30728	
1477	2	1	81.0218	0	2	10	45	3.32484	
1477	3	1	20.7512	0	2	10	45	3.3354	
1477	4	1	125.381	0	1	10	45	3.34422	
1485	1	1	0	0	4	1	45	3.3113	
1487	1	1	202.382	0	2	10	45	3.30794	
1487	2	1	40.3024	0	2	1	45	3.33108	
1487	3	1	0	0	4	1	45	3.34668	
1491	1	1	0	0	4	1	45	3.31204	
1501	1	1	403.088	0	2	1	45	3.3112	
1501	2	1	96.5804	0	2	1	45	3.31396	
1501	3	1	17.3074	0	2	1	45	3.31524	
1501	4	1	0	0	4	10	45	3.31633	
1503	1	1	287.296	0	2	10	45	3.31008	
1503	2	1	374.704	0	1	1	45	3.3208	
1506	1	1	75.1663	0	2	10	45	3.30895	
1506	2	1	0	0	4	1	45	3.32332	
1513	1	1	0	0	4	1	45	3.31102	
1532	1	1	233.534	0	2	1	45	3.31055	
1532	2	1	0	0	4	1	45	3.33	
1555	1	1	0	0	4	1	45	3.3089	
1556	1	1	0	0	4	1	45	3.31302	
1573	1	1	0	0	4	10	45	3.31702	
1584	1	1	0	0	4	1	45	3.31122	
1586	1	1	4.43928	0	2	10	45	3.30833	
1586	2	1	0	0	4	10	45	3.32701	
1589	1	1	0	0	4	10	45	3.3341	
1591	1	1	0	0	4	10	45	3.31396	
1620	1	1	662	0	1	10	45	3.31063	
1622	1	1	0	0	4	10	45	3.30775	
1629	1	1	0	0	4	10	45	3.30867	
1643	1	1	245.621	0	2	10	45	3.30949	
1643	2	1	0	0	4	1	45	3.31425	
1670	1	1	0	0	4	10	45	3.33136	
1684	1	1	0	0	4	1	45	3.31287	
1724	1	1	0	0	4	1	45	3.30879	
1728	1	1	0	0	4	1	45	3.31132	
1730	1	1	0	0	4	10	45	3.31278	
1741	1	1	473.165	0	2	10	45	3.31553	
1741	2	1	0	0	4	10	45	3.31995	
1748	1	1	0	0	4	1	45	3.31009	
1751	1	1	0	0	4	1	45	3.31474	
1754	1	1	476.262	0	2	10	45	3.31233	
1754	2	1	185.738	0	1	1	45	3.32968	
1780	1	1	0	0	4	1	45	3.31315	
