0	1	60	15	phot	6	45	
0	2	539	15	eIoni	6	45	
0	3	535	15	eIoni	6	45	
0	4	520	15	eIoni	6	45	
0	5	512	15	eIoni	6	45	
0	6	512	15	eIoni	6	45	
1	1	60	11	phot	14	45	
1	2	544	11	eIoni	14	45	
1	3	535	11	eIoni	14	45	
1	4	525	11	eIoni	14	45	
1	5	521	11	eIoni	14	45	
1	6	518	11	eIoni	14	45	
1	7	513	11	eIoni	14	45	
1	8	512	11	eIoni	14	45	
1	9	514	11	eIoni	14	45	
1	10	512	11	eIoni	14	45	
4	1	60	79	Rayl	20	45	
4	2	60	79	Transportation	20	45	
4	3	60	179	phot	19	45	
4	4	544	179	eIoni	19	45	
4	5	541	179	eIoni	19	45	
4	6	535	179	eIoni	19	45	
4	7	531	179	eIoni	19	45	
4	8	528	179	eIoni	19	45	
4	9	524	179	eIoni	19	45	
4	10	521	179	eIoni	19	45	
4	11	515	179	eIoni	19	45	
4	12	514	179	eIoni	19	45	
4	13	512	179	eIoni	19	45	
4	14	512	179	eIoni	19	45	
4	15	511	179	eIoni	19	45	
4	16	512	179	eIoni	19	45	
4	17	513	179	eIoni	19	45	
4	18	512	179	eIoni	19	45	
4	19	514	179	eIoni	19	45	
4	20	512	179	eIoni	19	45	
4	21	512	179	eIoni	19	45	
6	1	60	83	phot	2	45	
6	2	539	83	eIoni	2	45	
6	3	530	83	eIoni	2	45	
6	4	525	83	eIoni	2	45	
6	5	521	83	eIoni	2	45	
6	6	515	83	eIoni	2	45	
6	7	512	83	eIoni	2	45	
6	8	513	83	eIoni	2	45	
6	9	512	83	eIoni	2	45	
6	10	512	83	eIoni	2	45	
7	1	60	170	phot	1	45	
7	2	539	170	eIoni	1	45	
7	3	527	170	eIoni	1	45	
7	4	521	170	eIoni	1	45	
7	5	512	170	eIoni	1	45	
7	6	513	170	eIoni	1	45	
9	1	60	72	phot	19	45	
9	2	544	72	eIoni	19	45	
9	3	534	72	eIoni	19	45	
9	4	530	72	eIoni	19	45	
9	5	524	72	eIoni	19	45	
9	6	520	72	eIoni	19	45	
9	7	516	72	eIoni	19	45	
9	8	512	72	eIoni	19	45	
9	9	512	72	eIoni	19	45	
9	10	515	72	eIoni	19	45	
9	11	512	72	eIoni	19	45	
9	12	515	72	eIoni	19	45	
9	13	514	72	eIoni	19	45	
9	14	512	72	eIoni	19	45	
10	1	60	168	phot	1	45	
10	2	539	168	eIoni	1	45	
10	3	535	168	eIoni	1	45	
10	4	521	168	eIoni	1	45	
10	5	519	168	eIoni	1	45	
10	6	515	168	eIoni	1	45	
10	7	512	168	eIoni	1	45	
10	8	512	168	eIoni	1	45	
10	9	516	168	eIoni	1	45	
10	10	512	168	eIoni	1	45	
11	1	60	136	phot	1	45	
11	2	544	136	eIoni	1	45	
11	3	542	136	eIoni	1	45	
11	4	537	136	eIoni	1	45	
11	5	521	136	eIoni	1	45	
11	6	516	136	eIoni	1	45	
11	7	513	136	eIoni	1	45	
11	8	516	136	eIoni	1	45	
11	9	514	136	eIoni	1	45	
11	10	512	136	eIoni	1	45	
11	11	514	136	eIoni	1	45	
11	12	512	136	eIoni	1	45	
12	1	60	124	phot	20	45	
12	2	539	124	eIoni	20	45	
12	3	535	124	eIoni	20	45	
12	4	532	124	eIoni	20	45	
12	5	529	124	eIoni	20	45	
12	6	518	124	eIoni	20	45	
12	7	512	124	eIoni	20	45	
12	8	512	124	eIoni	20	45	
12	9	512	124	eIoni	20	45	
12	10	512	124	eIoni	20	45	
13	1	60	151	phot	1	45	
13	2	539	151	eIoni	1	45	
13	3	522	151	eIoni	1	45	
13	4	514	151	eIoni	1	45	
