0	1	60	15	6	45	
1	1	60	121	9	45	
2	1	60	22	20	45	
3	1	60	72	20	45	
3	2	55	72	20	45	
4	1	60	16	20	45	
7	1	60	124	20	45	
8	1	60	156	1	45	
10	1	60	32	18	45	
12	1	60	22	20	45	
13	1	60	61	15	45	
17	1	60	21	19	45	
19	1	60	41	3	45	
20	1	60	29	12	45	
21	1	60	50	16	45	
23	1	60	139	6	45	
25	1	60	82	20	45	
27	1	60	26	20	45	
30	1	60	85	17	45	
31	1	60	50	11	45	
33	1	60	129	12	45	
36	1	60	46	1	45	
38	1	60	4	20	45	
39	1	60	32	20	45	
42	1	60	21	19	45	
44	1	60	56	11	45	
44	2	50	56	11	45	
44	3	50	38	13	45	
45	1	60	185	1	45	
47	1	60	185	2	45	
49	1	60	15	19	45	
50	1	60	191	1	45	
52	1	60	16	20	45	
54	1	60	159	1	45	
56	1	60	166	3	45	
59	1	60	11	8	45	
62	1	60	168	1	45	
63	1	60	41	20	45	
65	1	60	4	19	45	
66	1	60	42	20	45	
66	2	60	42	20	45	
70	1	60	138	1	45	
72	1	60	47	17	45	
73	1	60	72	19	45	
75	1	60	101	11	45	
76	1	60	99	7	45	
78	1	60	29	19	45	
79	1	60	154	14	45	
79	2	60	154	14	45	
80	1	60	36	20	45	
82	1	60	26	17	45	
83	1	60	166	2	45	
84	1	60	44	3	45	
87	1	60	96	2	45	
89	1	60	56	3	45	
91	1	60	121	13	45	
92	1	60	135	14	45	
94	1	60	121	2	45	
96	1	60	168	1	45	
97	1	60	179	8	45	
98	1	60	120	9	45	
100	1	60	70	13	45	
101	1	60	25	3	45	
103	1	60	187	1	45	
108	1	60	187	1	45	
110	1	60	101	9	45	
113	1	60	145	1	45	
114	1	60	29	4	45	
115	1	60	59	11	45	
116	1	60	140	9	45	
118	1	60	62	16	45	
121	1	60	89	13	45	
122	1	60	46	16	45	
124	1	60	33	20	45	
124	2	60	33	20	45	
126	1	60	183	1	45	
127	1	60	191	1	45	
128	1	60	179	1	45	
129	1	60	101	15	45	
132	1	60	5	16	45	
133	1	60	121	4	45	
134	1	60	38	12	45	
135	1	60	24	19	45	
136	1	60	56	20	45	
136	2	59	56	20	45	
144	1	60	177	1	45	
145	1	60	145	4	45	
146	1	60	101	10	45	
147	1	60	29	15	45	
148	1	60	159	3	45	
152	1	60	21	20	45	
153	1	60	110	6	45	
153	2	60	110	6	45	
155	1	60	159	13	45	
156	1	60	21	20	45	
157	1	60	58	14	45	
158	1	60	187	20	45	
159	1	60	2	20	45	
160	1	60	11	20	45	
161	1	60	79	11	45	
162	1	60	30	20	45	
163	1	60	36	20	45	
164	1	60	156	3	45	
166	1	60	165	15	45	
167	1	60	70	18	45	
169	1	60	59	8	45	
172	1	60	3	20	45	
173	1	60	81	4	45	
174	1	60	170	1	45	
175	1	60	185	9	45	
177	1	60	52	20	45	
178	1	60	58	17	45	
180	1	60	153	1	45	
181	1	60	15	19	45	
183	1	60	100	20	45	
184	1	60	179	20	45	
185	1	60	55	20	45	
187	1	60	166	14	45	
188	1	60	187	1	45	
189	1	60	156	1	45	
190	1	60	11	18	45	
193	1	60	59	10	45	
194	1	60	170	1	45	
195	1	60	44	12	45	
196	1	60	84	2	45	
197	1	60	64	13	45	
197	2	60	64	13	45	
198	1	60	104	15	45	
203	1	60	177	1	45	
205	1	60	55	11	45	
208	1	60	144	19	45	
209	1	60	5	19	45	
211	1	60	170	1	45	
214	1	60	6	19	45	
215	1	60	56	20	45	
218	1	60	120	18	45	
219	1	60	15	9	45	
220	1	60	148	13	45	
221	1	60	159	1	45	
223	1	60	58	17	45	
224	1	60	145	7	45	
